/dev/ttyS0
/dev/ttyACM0
365.6 	8.107
366.6 	8.13
367.7 	8.078
368.7 	8.104
369.8 	8.054
370.8 	8.082
371.9 	8.035
372.9 	8.065
374.0 	8.019
375.0 	8.05
376.1 	8.006
376.8 	8.382
377.8 	8.378
378.9 	8.302
380.0 	8.234
381.0 	8.245
382.0 	8.254
383.0 	8.263
384.2 	8.138
385.2 	8.158
386.2 	8.176
387.2 	8.192
388.3 	8.134
389.4 	8.082
390.4 	8.107
391.1 	8.473
392.1 	8.461
393.2 	8.377
394.3 	8.301
395.3 	8.306
396.3 	8.31
397.4 	8.24
398.5 	8.178
399.5 	8.194
400.5 	8.208
401.6 	8.149
402.6 	8.168
403.7 	8.112
404.7 	8.135
405.8 	8.082
406.8 	8.107
407.8 	8.13
408.9 	8.078
410.0 	8.031
411.0 	8.061
411.7 	8.432
412.7 	8.424
413.9 	8.283
414.9 	8.289
415.9 	8.294
416.9 	8.299
417.9 	8.304
419.1 	8.174
420.1 	8.191
421.1 	8.206
422.1 	8.219
423.3 	8.098
424.3 	8.122
425.3 	8.143
426.3 	8.163
427.4 	8.108
428.5 	8.058
429.5 	8.085
430.5 	8.11
431.3 	8.333
432.3 	8.335
433.4 	8.335
434.4 	8.336
435.5 	8.264
436.5 	8.272
437.5 	8.279
438.5 	8.285
439.7 	8.158
440.7 	8.176
441.7 	8.192
442.7 	8.207
443.9 	8.087
444.9 	8.112
445.6 	8.478
446.6 	8.465
447.6 	8.454
448.8 	8.31
449.8 	8.313
450.8 	8.316
451.8 	8.319
452.9 	8.249
454.0 	8.185
455.0 	8.201
456.0 	8.215
457.1 	8.155
458.1 	8.173
459.2 	8.117
459.9 	8.482
461.0 	8.396
462.0 	8.391
463.0 	8.387
464.1 	8.31
465.2 	8.241
466.2 	8.251
467.2 	8.26
468.3 	8.196
469.4 	8.137
470.4 	8.157
471.1 	8.519
472.1 	8.502
473.2 	8.414
474.3 	8.335
475.3 	8.336
476.3 	8.337
477.3 	8.338
478.5 	8.205
479.5 	8.219
480.5 	8.231
481.2 	8.585
482.3 	8.49
483.4 	8.403
484.4 	8.398
485.4 	8.393
486.5 	8.315
487.5 	8.318
488.6 	8.248
489.6 	8.258
490.3 	8.609
491.4 	8.511
492.4 	8.495
493.5 	8.408
494.5 	8.402
495.6 	8.324
496.6 	8.326
497.6 	8.328
498.7 	8.257
499.5 	8.466
500.5 	8.454
501.5 	8.444
502.5 	8.435
503.7 	8.293
504.7 	8.298
505.7 	8.302
506.7 	8.307
507.9 	8.177
508.6 	8.537
509.6 	8.537
510.6 	8.518
511.6 	8.502
512.7 	8.414
513.8 	8.335
514.8 	8.336
515.8 	8.337
516.6 	8.538
517.6 	8.52
518.7 	8.43
519.7 	8.422
520.8 	8.342
521.8 	8.342
522.8 	8.343
523.6 	8.543
524.6 	8.524
525.7 	8.434
526.7 	8.426
527.7 	8.418
528.8 	8.339
529.9 	8.266
530.9 	8.274
531.6 	8.624
532.6 	8.598
533.8 	8.44
534.8 	8.431
535.8 	8.423
536.8 	8.415
538.0 	8.275
538.7 	8.625
539.7 	8.599
540.7 	8.574
541.7 	8.553
542.9 	8.399
543.9 	8.394
544.9 	8.389
545.6 	8.729
546.7 	8.619
547.8 	8.52
548.8 	8.503
549.8 	8.488
550.9 	8.402
551.9 	8.396
552.7 	8.592
553.7 	8.568
554.8 	8.474
555.8 	8.462
556.8 	8.451
557.9 	8.368
559.0 	8.293
559.7 	8.641
560.7 	8.613
561.7 	8.588
562.8 	8.492
563.9 	8.405
564.9 	8.399
565.9 	8.394
566.7 	8.59
567.8 	8.494
568.8 	8.479
569.8 	8.467
570.8 	8.455
572.0 	8.311
572.7 	8.658
573.7 	8.628
574.7 	8.601
575.7 	8.576
576.9 	8.421
577.9 	8.414
578.6 	8.751
579.6 	8.712
580.7 	8.604
581.8 	8.506
582.8 	8.491
583.8 	8.477
584.9 	8.477
585.6 	8.808
586.6 	8.763
587.7 	8.651
588.8 	8.549
589.8 	8.529
590.8 	8.512
591.6 	8.696
592.6 	8.662
593.7 	8.559
594.7 	8.539
595.7 	8.52
596.8 	8.431
597.6 	8.623
598.6 	8.596
599.6 	8.572
600.6 	8.551
601.8 	8.397
602.5 	8.736
603.5 	8.698
604.5 	8.665
605.5 	8.634
606.7 	8.473
607.7 	8.461
608.4 	8.793
609.4 	8.75
610.5 	8.639
611.6 	8.538
612.6 	8.519
613.3 	8.846
614.4 	8.725
615.4 	8.689
616.5 	8.583
617.5 	8.56
618.2 	8.883
619.3 	8.759
620.3 	8.719
621.4 	8.611
622.4 	8.585
623.5 	8.489
624.2 	8.819
625.2 	8.774
626.3 	8.66
627.4 	8.557
628.4 	8.537
629.1 	8.862
630.1 	8.812
631.2 	8.695
632.3 	8.588
633.3 	8.565
634.0 	8.887
635.0 	8.835
636.2 	8.655
637.2 	8.625
638.2 	8.599
638.9 	8.918
